primary_genre,Plot Story,Acting Performance,Visuals Cinematography,Emotions Impact,Action Excitement,Music Sound,Direction,Originality,Entertainment,Pacing,Total
Adventure,0.8963509316770186,0.8636128364389234,0.5075051759834368,0.8255693581780539,0.5134575569358178,0.5654761904761905,0.2391304347826087,0.4871894409937888,0.23097826086956522,0.5363612836438924,5.665631469979297
Action,0.8308358698197144,0.7826036057129477,0.2939592601264341,0.4361976118005151,0.9241395457738235,0.388550690704753,0.31830952938421914,0.3479278857410443,0.2567314446265512,0.30039803324748304,4.879653476937485
Horror,0.8130968622100955,0.6343792633015006,0.2708049113233288,0.3922237380627558,0.4542974079126876,0.2626193724420191,0.17871759890859482,0.699181446111869,0.2557980900409277,0.21623465211459755,4.177353342428376
Comedy,0.4998030720756203,0.5899960614415124,0.1492713666797952,0.5313115399763686,0.35525797558093736,0.30129972430090585,0.12051988972036234,0.39582512800315084,0.6262307995273729,0.1981094919259551,3.7676250492319805
Drama,0.7862010221465077,0.7040885860306644,0.2766609880749574,0.5713798977853493,0.2674616695059625,0.265587734241908,0.1747870528109029,0.20238500851788757,0.05877342419080068,0.20885860306643952,3.51618398637138
